Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter 
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country
ARCHIMEDE S.R.L. SOCIETA' DI INGEGNERIA,CALTANISSETTA,IT,7112,U1,16,MR GIANLUCA TUMMINELLI,CSO UMBERTO I 211,93100,Caltanissetta,Italien,37.488595,14.062999,Italy
YARA CLEAN AMMONIA NORGE AS,OSLO,NO,2011,U1,0,YARA INTERNATIONAL ASA,DRAMMENSVEIEN 131,0277,Oslo,Norwegen,59.922149,10.687623,Norway
BELLTOWN POWER UK LIMITED,BRISTOL,GB,3511,U1,16,BELLTOWN POWER UK LIMITED,"SECOND FLOOR HANOVER HOUSE, 47 CORN STREET",BS1 1HT,Bristol,Vereinigtes Königreich,51.4546211,-2.5943644772134755,United Kingdom
SYNERGYS TECHNOLOGIES,ALTKIRCH,FR,4619,U1,n.v.,,"QUARTIER PLESSIER, 39 AV DU 8E REGIMENT DE HUSSARDS",68130,Haut-Rhin,Frankreich,47.6257668,7.2262735,France
ENBW NORWAY AS,OSLO,NO,7112,U1,3,ENBW ENERGIE BADEN-WÜRTTEMBERG AG,BUSINESS VILLAGE AKER BRYGGE GRUNDINGEN 6,0250,Oslo,Norwegen,59.910636,10.727314,Norway
NORDCON ENERGY AS,BJØRKELANGEN,NO,4671,C2,2,NORDCON ENERGY AS,KOMPVEIEN 2668,1940,Aurskog-Høland,Norwegen,59.8873727,11.5610013,Norway
MOLTEX ENERGY LIMITED,STRATFORD-UPON-AVON,GB,7219,U1,25,MOLTEX ENERGY LIMITED,"13 THE COURTYARD, TIMOTHYS BRIDGE ROAD",CV37 9NP,Stratford-Upon-Avon,Vereinigtes Königreich,,,United Kingdom
AIR LINK,ROUSSET,FR,7010,U1,n.v.,"PIERRE, MAURICE, ADRIEN, JEAN FIAT","BATIMENT D RES LES PORTES DE ROUSSET, 1200 AVENUE OLIVIER PERROY",13790,Bouches-du-Rhône,Frankreich,43.470614,5.598779,France
CHEMATUR TECHNOLOGIES AB,KARLSKOGA,SE,7010,C2,36,万华化学集团股份有限公司,BOX 430,691 27,Örebro,Schweden,,,Sweden
NORWEGIAN HYDROGEN AS,ÅLESUND,NO,2011,U1,10,NORWEGIAN HYDROGEN AS,KORSEGATA 4B,6002,Ålesund,Norwegen,62.4717804,6.1558055,Norway
HORSE HILL DEVELOPMENTS LTD,LONDON,GB,0610,U1,n.v.,UK OIL & GAS PLC,"THE BROADGATE TOWER, 20 PRIMROSE STREET",EC2A 2EW,London EC2A,Vereinigtes Königreich,51.5213154,-0.0797378,United Kingdom
"CURTIS, MALLET-PREVOST, COLT & MOSLE (FRANCE) LLP",LONDON,GB,,U1,n.v.,,99 GRESHAM STREET,EC2V 7NG,London EC2V,Vereinigtes Königreich,51.5149836,-0.0903911,United Kingdom
THE EUROPEAN MARINE ENERGY CENTRE LIMITED,STROMNESS,GB,7120,U1,76,THE EUROPEAN MARINE ENERGY CENTRE LIMITED,"THE CHARLES CLOUSTON BUILDING, O.R.I.C.",KW16 3AW,Stromness,Vereinigtes Königreich,,,United Kingdom
NORDIC TECHNOLOGY GROUP AS,OSLO,NO,7740,C2,2,TELEVENTURE CAPITAL AS,TOLLBUGATA 24,0157,Oslo,Norwegen,59.910913,10.741743,Norway
FMC FORET SA,MADRID,ES,8211,U1,7,FMC CORP,"PASEO CASTELLANA, 257 5 PLT",28046,Madrid,Spanien,,,Spain
VON ARDENNE CORPORATION MANAGEMENT GMBH,DRESDEN,DE,6420,U1,n.v.,VON ARDENNE HOLDING SE & CO. KGAA,AM HAHNWEG 8,01328,Dresden,Deutschland,51.0664053,13.898666081240384,Germany
ADVANCED ENERGY TECHNOLOGIES ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.,ΠΆΤΡΑ,GR,7219,U1,30,ADVENT TECHNOLOGIES HOLDINGS INC,"ΣΤΑΔΊΟΥ, ΠΛΑΤΆΝΙ",26504,Αχαΐα,Griechenland,38.55575125,21.790688183939974,Greece
GROUPE SAFRA,ALBI,FR,6430,U1,n.v.,VINCENT RENE GABRIEL LEMAIRE,5 RUE NICOLAS COPERNIC,81000,Tarn,Frankreich,43.917997,2.094143,France
QAIR ENVIRONNEMENT,MONTPELLIER,FR,3511,U1,n.v.,,"ZONE D AMENAGEMENT CONCERTE CAMBACERES, 120 RUE MARYAM MIRZAKHANI",34000,Hérault,Frankreich,43.595204,3.920685,France
TECO 2030 ASA,LYSAKER,NO,4669,C2,6,TECO 2030 ASA,LYSAKER TORG 45,1366,Bærum,Norwegen,59.9127853,10.6362776,Norway
ENERFLEX (UK) LIMITED,CHATHAM,GB,8299,U1,3,ENERFLEX SYSTEMS INCOME FUND,1 - 3 MANOR ROAD,ME4 6AE,Chatham,Vereinigtes Königreich,51.38038255,0.5462173333604121,United Kingdom
AIRE NOUVELLE,COURBEVOIE,FR,4110,U1,n.v.,BOUYGUES,49 RUE LOUIS BLANC,92400,Hauts-de-Seine,Frankreich,48.891914,2.25262,France
PTK KLJUČ DOO KLADOVO,KLADOVO,RS,0111,U1,4,MRS RADOICA TODOROVIC,BUKATAREVIĆA 11,19320,Bor,Serbien,44.603427,22.593293,Serbia
METACON AB (PUBL),UPPSALA,SE,7022,C2,24,METACON AB (PUBL),DROTTNINGGATAN 1 B,753 10,Örebro,Schweden,59.858305,17.6379939,Sweden
AKER HORIZONS ASSET DEVELOPMENT AS,FORNEBU,NO,2011,U1,44,MR KJELL INGE ROEKKE,JOHN STRANDRUDS VEI 10,1360,Bærum,Norwegen,59.903693,10.624621,Norway
ИНСТИТУТ ФИЗИКО-ТЕХНОЛОГИЧЕСКИХ ИССЛЕДОВАНИЙ (ИФТИ),БАЛАШИХА-3,RU,2790,U1,6,MR YURII VALENTINOVICH TROFIMOV,"УЛ. ПУШКИНА ДОМ 7, СТРОЕНИЕ 1, ИФТИ",143903,Московская область,Russische Föderation,55.8046633,37.98280817029969,Russia
ΔΕΠΑ ΔΙΕΘΝΩΝ ΕΡΓΩΝ Α.Ε.,ΑΘΉΝΑ,GR,4299,C2,n.v.,,ΛΕΩΦ. ΜΕΣΟΓΕΊΩΝ 207,11525,Αττική,Griechenland,37.9646459,23.7265698,Greece
E.HY ENERGY HYDROGEN SOLUTION S.P.A.,SAN GIULIANO TERME,IT,7219,U1,6,MR MARCO BERTELLI,VIA LENIN 132/G,56017,Pisa,Italien,43.764695,10.409577,Italy
HY2GEN NORGE AS,SANDNES,NO,7112,U1,2,HY2GEN AG,GRENSEVEIEN 21,4313,Sandnes ,Norwegen,58.8888588,5.7183052,Norway
ЭСТАФЕТА,СТАРАЯ КУПАВНА,RU,4646,U1,4,MR SERYAN BENIKOVICH AVAKYAN,УЛ.КИРОВА Д.29,142450,Московская область,Russische Föderation,,,Russia
INSTRUMENTGRUPPEN ITEMS AB,STORA HÖGA,SE,7112,U1,2,MOMENTUM GROUP AB,"C/O PROCESSKONTROLL ITEMS AB, VALLENVÄGEN 5",444 60,Västra Götaland,Schweden,58.01824215,11.831971954919258,Sweden
ÍSLENSK NÝORKA EHF.,REYKJAVÍK,IS,7219,U1,3,GOVERNMENT OF ICELAND,PÓSTHÓLF 8192,128,Reykjavík,Island,,,Iceland
AFC ENERGY PLC,CRANLEIGH,GB,8299,U1,84,,"UNIT 71. 4 DUNSFOLD PARK, STOVOLDS HILL",GU6 8TB,Cranleigh,Vereinigtes Königreich,,,United Kingdom
ELEVION HOLDING ITALIA SRL,BOLZANO,IT,7490,U1,8,CZECH REPUBLIC,VIA GALILEO GALILEI 10,39100,Bolzano,Italien,46.4866143,11.3384651,Italy
INEOS FLUOR HOLDINGS LIMITED,LONDON,GB,7010,U1,n.v.,MR JAMES ARTHUR RATCLIFFE,"ANCHOR HOUSE, 15-19 BRITTEN STREET",SW33TY,London SW3,Vereinigtes Königreich,51.4888064,-0.1679833601332155,United Kingdom
HYON AS,DRAMMEN,NO,7112,U1,10,,STRØMSØ TORG 4,3044,Drammen,Norwegen,59.739282,10.202421,Norway
AIRBONE TRAVELS AB,STOCKHOLM,SE,7911,U1,n.v.,,RÅDMANSGATAN 33,113 58,Stockholm,Schweden,59.341102,18.061672,Sweden
ПРОЕКТ +,ПЕНЗА,RU,2361,U1,17,,УЛ.СТРОИТЕЛЕЙ 5-В,440028,Пензенская область,Russische Föderation,53.909006,30.29608,Russia
GEOECO ITALIA - S.R.L.,VIESTE,IT,5520,U1,1,MR GIUSEPPE NOTARANGELO,PZA VITTORIO EMANUELE 11,71019,Foggia,Italien,,,Italy
ZEG POWER AS,LYSAKER,NO,7112,U1,20,,VOLLSVEIEN 2B,1366,Bærum,Norwegen,59.9113452,10.634352,Norway
TECO 2030 INNOVATION CENTER AS,NARVIK,NO,2790,U1,7,TECO 2030 ASA,TEKNOLOGIVEIEN 6,8517,Narvik,Norwegen,68.4467448,17.4493768,Norway
POWERHOUSE ENERGY GROUP PLC,BRIDGEND,GB,7219,U1,9,POWERHOUSE ENERGY GROUP PLC,"UNIT 3/3A GARTH DRIVE, BRACKLA INDUSTRIAL ESTATE",CF31 2AQ,Bridgend,Vereinigtes Königreich,,,United Kingdom
БЕРГАУФ РАМЕНСКОЕ,РАМЕНСКОЕ,RU,6820,U1,1,MR DMITRII ANATOLYEVICH KNUTAREV,УЛИЦА МИХАЛЕВИЧА,140101,Московская область,Russische Föderation,55.561354,38.246921,Russia
CONDUIT VENTURES LIMITED,LONDON,GB,6430,U1,2,MR JOHN NDOKE BUTT,3RD FLOOR 12 GOUGH SQUARE,EC4A 3DW,London EC4A,Vereinigtes Königreich,51.5151383,-0.1075119,United Kingdom
HYNION AS,HØVIK,NO,4730,C2,7,HYNION AS,SANDVIKSVEIEN 17,1363,Bærum,Norwegen,59.898574,10.575899,Norway
HYEX SAFETY AS,HJELLESTAD,NO,7112,U1,3,MR OLAV ROALD HANSEN,C/O OLAV ROALD HANSEN GRINDHAUGVEGEN 57,5259,Bergen,Norwegen,,,Norway
METACON ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.,ΠΆΤΡΑ,GR,2899,U1,28,METACON AB (PUBL),"Α. ΠΑΠΑΝΔΡΈΟΥ 9, ΘΈΣΗ ΠΑΛΙΟΥΡΓΙΆ",26333,Αχαΐα,Griechenland,35.511258,24.0279785,Greece
ENERGIA HYDROGEN LIMITED,BELFAST,GB,3521,U1,3,,"GREENWOOD HOUSE, 64 NEWFORGE LANE",BT9 5NF,Belfast,Vereinigtes Königreich,49.458173,-112.639917,United Kingdom
ECOFUEL AS,OSLO,NO,4671,U1,1,MRS WENCHE BERTHELSEN,FRIDTJOF NANSENS PLASS 8,0160,Oslo,Norwegen,59.912402,10.735096,Norway
ФИРМА АЛЬФА БАССЕНС,МОСКВА,RU,2651,U1,10,,"УЛ.КРАСНОКАЗАРМЕННАЯ Д.14, КОРП.""И",111250,г.Москва,Russische Föderation,42.905412,71.441915,Russia
ZELK ENERGY AB (PUBL),SUNDBYBERG,SE,3511,U1,n.v.,,"C/O JOACHIM KARTHÄUSER, FREDSGRÄND 11  LGH 1502",172 72,Stockholm,Schweden,,,Sweden
HYDROGEN SOLUTIONS AS,STORD,NO,2011,U1,5,,LØNNINGSÅSEN 2,5417,Stord,Norwegen,59.7810676,5.4972722,Norway
HAFFNER ENERGY,VITRY LE FRANCOIS,FR,3320,C2,50,HAFFNER ENERGY,2 PLACE DE LA GARE,51300,Marne,Frankreich,48.7181574,4.586041,France
H2X GOTHENBURG AB,GÖTEBORG,SE,2910,U1,3,,LINDHOLMSPIREN 5 A,417 56,Västra Götaland,Schweden,57.7072173,11.9396972,Sweden
RENERGIA S.P.A.,ASSAGO,IT,6420,U1,3,PATRIZIA EUROPEAN INFRASTRUCTURE FUND II SCSP,VLE MILANOFIORI,20057,Milano,Italien,45.4018117,9.1455762,Italy
OZZ EVROPA BAČKA PALANKA,BAČKA PALANKA,RS,0111,U1,2,,JUG BOGDANA 6,21400,South Bačka,Serbien,45.253445,19.3808034,Serbia
GREENALIA BIOMASS POWER SL.,A CORUÑA,ES,0210,U1,n.v.,MR MANUEL GARCIA PARDO,"PLAZA MARIA PITA, 10 PISO 1",15001,La Coruña,Spanien,43.370501,-8.395133,Spain
GREENSTAT HYDROGEN AS,BERGEN,NO,7112,U1,5,LA FRANÇAISE DE L'ÉNERGIE SA,FANTOFTVEGEN 38,5072,Bergen,Norwegen,60.3415138,5.3554776,Norway
HAVIND AS,OSLO,NO,7112,U1,2,FREDERIC OLIVIER JEAN FARRUGIA,DRAMMENSVEIEN 288,0283,Oslo,Norwegen,59.913629,10.644854,Norway
SOMMER-LARSEN CONSULTING AS,HAFRSFJORD,NO,7112,U1,2,MR PETER SOMMER-LARSEN,C/O PETER SOMMER-LARSEN DONEVIKVEIEN 6,4048,Stavanger,Norwegen,,,Norway
MAIMERI SRL,MEDIGLIA,IT,7740,U1,n.v.,MR GIANNI CARLO ANTONIO MAIMERI,VIA GIANNI MAIMERI 1,20076,Milano,Italien,,,Italy
HIMIN SOLAR SL,ELCHE/ELX,ES,4673,U1,1,MR LUIS LOPEZ MARTINEZ,"PLAZA BAIX, 13 PISO 2",03202,Alicante,Spanien,38.265203,-0.699296,Spain
H&O DEVELOPMENT AB,STOCKHOLM,SE,7112,U1,1,,"C/O CARLSSON, RIDDARGATAN 43",114 57,Stockholm,Schweden,59.3325435,18.0879152,Sweden
DALSEC AB,BORLÄNGE,SE,6202,U1,1,DALSEC AB,KYNA 212,784 78,Dalarna,Schweden,60.620821,15.602029,Sweden
HYED AS,LARVIK,NO,7112,U1,1,MR ERIC JEAN-MARIE DABE,MELLOMGATA 21B,3264,Larvik,Norwegen,59.0500582,10.0078391,Norway
HYDROGEN SOURCE AS,OSLO,NO,7112,U1,3,,KRONPRINSESSE MÄRTHAS PLASS 1,0160,Oslo,Norwegen,59.912771,10.732951,Norway
АКЦИОНЕРНОЕ ОБЩЕСТВО ВОЛГОДОНСКМЕЖРАЙГАЗ,ВОЛГОДОНСК,RU,7739,U1,n.v.,Правительство Российской Федерации,ПЕР. КОММУНИСТИЧЕСКИЙ Д.12,347360,Ростовская область,Russische Föderation,47.5313151,42.2251744,Russia
ВОРЛЕНД ТРЕЙДІНГ ПП,ДНІПРО,UA,4690,U1,n.v.,IGS FINANCE SOLUTIONS LIMITED,"ВУЛ. БЕЛЕЛЮБСЬКОГО АКАДЕМІКА 68, КОРП. 2",49019,ДНЕПРОПЕТРОВСКАЯ ОБЛАСТЬ,Ukraine,48.4860885,34.95250970857936,Ukraine
TOTALENERGIES EP COLOMBIE,COURBEVOIE,FR,0610,U1,n.v.,TOTALENERGIES SE,2 PLACE JEAN MILLIER,92400,Hauts-de-Seine,Frankreich,48.892689,2.242977,France
GASVÄRMESYSTEM I NORA AB,NORA,SE,4673,U1,2,Janna Förvaltning AB,SKÖRDEVÄGEN 18,713 30,Örebro,Schweden,59.519398,15.03730418249874,Sweden
GKN HYDROGEN LIMITED,LONDON,GB,6420,U1,2,MELROSE INDUSTRIES PLC,"2ND FLOOR NOVA NORTH, 11 BRESSENDEN PLACE",SW1E 5BY,London SW1E,Vereinigtes Königreich,51.4975199,-0.1419831,United Kingdom
MOAB PRODUKTER AKTIEBOLAG,NYNÄSHAMN,SE,2223,U1,1,,BOX 73,149 21,Stockholm,Schweden,,,Sweden
HEXAGON RAUFOSS AS,RAUFOSS,NO,2932,U1,0,HEXAGON COMPOSITES ASA,BYGNING 306 RAUFOSS INDUSTRIPARK,2830,Vestre Toten,Norwegen,60.7315506,10.6055696,Norway
SANAD DOO SANAD,SANAD,RS,0111,U1,3,MILE JOVICIC,SVETOZARA MARKOVIĆA 2,23331,North Banat,Serbien,45.9780718,20.1142627,Serbia
H2 GREEN LTD,EDINBURGH,GB,3511,U1,9,GETECH GROUP PLC,"C/O AZETS, EXCHANGE PLACE, 3 SEMPLE STREET",EH3 8BL,Edinburgh,Vereinigtes Königreich,55.9443642,-3.2080925,United Kingdom
МИКРОСЕНСОРНАЯ ТЕХНИКА,МОСКВА,RU,2651,U1,5,MR KHONONZON MIKHAIL GRIGORYEVICH,УЛ.РЯБИНОВАЯ Д.43,121471,г.Москва,Russische Föderation,53.325886,28.64461,Russia
ELEMENT ONE ENERGY AS,BERGEN,NO,7112,U1,1,MR ANDERS EVEN KVAALE,MØLLENDALSVEIEN 63,5009,Bergen,Norwegen,60.3787123,5.3517351,Norway
GEN2 ENERGY AS,BORRE,NO,2011,U1,17,GEN2 ENERGY AS,RAVEIEN 205,3184,Horten,Norwegen,59.371122,10.4421284,Norway
P2X SOLUTIONS OY,ESPOO,FI,2011,U1,7,,TEKNIIKANTIE 12,02150,Uusimaa,Finnland,60.1840754,24.8142991,Finland
HYCRO AB,KARPERÖ,FI,7112,LF,n.v.,,SKAGVÄGEN 28 B,65630,Ostrobothnia,Finnland,63.170439,21.698376,Finland
HYDRO HAVRAND AS,OSLO,NO,8299,U1,0,NORSK HYDRO ASA,DRAMMENSVEIEN 264,0283,Oslo,Norwegen,59.913821,10.650463,Norway
PROGETTO TERRA SRL,MILANO,IT,2821,U1,n.v.,PROGETTO TERRA SRL,VIA TEOBALDO CICONI 8,20147,Milano,Italien,,,Italy
SHG SUPREME HYDROGEN AB,STOCKHOLM,SE,7112,U1,1,SWEDISH HYDROGEN HOLDING AB,"C/O HELIO, PETER MYNDES BACKE 16",118 46,Stockholm,Schweden,59.3193706,18.069344,Sweden
OXYGENE ACETYLENE EXTREME ORIENT,PARIS,FR,6420,U1,n.v.,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",75 QUAI D ORSAY,75007,Paris,Frankreich,48.8622331,2.3047133,France
NORTH AMMONIA AS,OSLO,NO,2015,U1,1,,C/O GRIEG MARITIME AS BRYGGEGATA 6,0250,Oslo,Norwegen,,,Norway
FUELLA AS,BLOMSTERDALEN,NO,2015,U1,0,FUELLA AS,LØNNINGSVEGEN 47,5258,Bergen,Norwegen,60.286483,5.234205,Norway
XCAPE AS,SPILLUM,NO,6820,U1,0,MR STIG ROAR ANDERSEN,HOLMENVEGEN 8,7820,Namsos ,Norwegen,64.4588,11.5368461,Norway
MERAKER HYDROGEN AS,KOPPERÅ,NO,2011,U1,2,,KOPPERÅVEIEN 268,7533,Meråker,Norwegen,63.395216,11.843109,Norway
LHYFE SWEDEN AB,STOCKHOLM,SE,7010,U1,6,LHYFE,"C/O THE WORKS SVERIGE AB, KLARABERGSGATAN 60",111 21,Stockholm,Schweden,59.331707,18.05968,Sweden
SUSTAINABLE CONSULTING LTD,TADWORTH,GB,4291,U1,1,MR KEITH PAUL BIRCH,17 HARPURS,KT20 5UD,Tadworth,Vereinigtes Königreich,51.294058,-0.2295088582803769,United Kingdom
CHAMP TECHNOLOGIES LTD,SWANSEA,GB,7112,U1,n.v.,,"DUNSMEADOW, LLANRHIDIAN",SA3 1EU,Swansea,Vereinigtes Königreich,,,United Kingdom
BO RAMBERG CONSULTING AB,MÖLNLYCKE,SE,7022,U1,1,,"C/O BO RAMBERG, AXEL ENGDAHLSV 3",435 42,Västra Götaland,Schweden,57.6436975,12.10413830088661,Sweden
GLOBAL TRANSFORMATION TECHNOLOGIES AB,HOVÅS,SE,4673,U1,n.v.,,"C/O ULF DAHLSTRÖM, LÖVVIKSVÄGEN 32",436 55,Västra Götaland,Schweden,57.61064505,11.943558434979575,Sweden
STOREGGA LIMITED,LONDON,GB,6420,C1,83,STOREGGA LIMITED,2ND FLOOR 1-2 HATFIELDS,SE1 9PG,London SE1,Vereinigtes Königreich,51.5076783,-0.1076635,United Kingdom
H2 MARINE AS,BERGEN,NO,7219,U1,0,,FANTOFTVEGEN 38,5072,Bergen,Norwegen,60.3415138,5.3554776,Norway
BEVAN NORDGREN CONSULTING AB,GÖTEBORG,SE,7112,U1,n.v.,,"C/O IDA NORDGREN, SNÄCKVÄGEN 25",414 75,Västra Götaland,Schweden,57.6803849,11.9252731,Sweden
FORESTA AS,BEKKESTUA,NO,7112,U1,0,MR OEYVIND KRISTIAN SKOVLUND,NADDERUDVEIEN 11,1357,Bærum,Norwegen,59.920508,10.589551,Norway
CLEAN POWER HYDROGEN GROUP LIMITED,DONCASTER,GB,2011,C2,26,CLEAN POWER HYDROGEN PLC,"UNIT D PARKSIDE BUSINESS PARK, SPINNERS ROAD",DN2 4BL,Doncaster,Vereinigtes Königreich,53.5261028,-1.1282682,United Kingdom
SEACORRIDOR S.R.L.,SAN DONATO MILANESE,IT,4950,U1,n.v.,ENI S.P.A.,PZA EZIO VANONI 1,20097,Milano,Italien,,,Italy
SUOMEN LAATUAKUT OY,RAISIO,FI,4531,U1,0,MR PETER VILJO LINDSTROM,"RAISIONKAARI 50, 21200",21200,Finland Proper,Finnland,60.4772652,22.151548,Finland
FOLKERMAN RENEWABLES AB,STOCKHOLM,SE,7490,U1,0,,SONJA KOVALEVSKYS GATA 3,113 65,Stockholm,Schweden,59.3468669,18.0347139,Sweden
HYDROGEN ENERGY SCANDINAVIA AB,DANDERYD,SE,2711,U1,1,KESCH AB,VENDEVÄGEN 87,182 32,Stockholm,Schweden,59.3945647,18.0488044,Sweden
HERAEUS ELECTRO-NITE (UK) LTD,CHESTERFIELD,GB,2899,U1,71,EINHORN VERWALTUNGSGESELLSCHAFT MBH,655 SHEFFIELD ROAD,S41 9ED,Chesterfield,Vereinigtes Königreich,53.2575381,-1.4277458,United Kingdom
МНОГОКАНАЛЬНЫЕ ОПТИЧЕСКИЕ РЕГИСТРИРУЮЩИЕ СИСТЕМЫ,ТРОИЦК,RU,2651,U1,1,MR EMMANUIL GERSHOVICH SILKIS,УЛ.ФИЗИЧЕСКАЯ Д.5,142190,г.Москва,Russische Föderation,,,Russia
NAPOP AS,VIKERSUND,NO,7112,U1,0,,VIKERSUNDGATA 18,3370,Modum,Norwegen,59.9664663,9.9959033,Norway
EVERFUEL NORWAY AS,OSLO,NO,4941,U1,3,MR JACOB BECH KROGSGAARD,C/O AMESTO ACCOUNTHOUSE AS SMELTEDIGELEN 1,0195,Oslo,Norwegen,,,Norway
H2 SWEDEN ADVISORY AB,GÖTEBORG,SE,7112,U1,n.v.,,"C/O VÄTGAS SVERIGE IDEELL FÖRENING, DROTTNINGGATAN 21",411 14,Västra Götaland,Schweden,57.7053677,11.9657062,Sweden
EGEA AB,KUNGSBACKA,SE,7022,U1,n.v.,,NILS EBBESGÅRDSGATAN 65,434 36,Halland,Schweden,57.5054064,12.0645802,Sweden
GREEN H AS,OSLO,NO,2011,U1,7,,PARKVEIEN 33B,0258,Oslo,Norwegen,59.91957,10.726114,Norway
TEKNISKE AS,TØNSBERG,NO,7112,U1,0,TECO AS,CRAME HARALD HÅRFAGRES GATE 2A,3116,Tønsberg,Norwegen,59.27149,10.4147321,Norway
FRISEGÅRD SYD AB,UDDEVALLA,SE,4531,U1,n.v.,,BADVÄGEN 3,451 96,Västra Götaland,Schweden,58.27020865,11.635523896954908,Sweden
HIDRIGENICA AS,SANDEFJORD,NO,,U1,0,MR PER EINAR EVENSEN,KILGATA 16,3217,Sandefjord,Norwegen,59.1280718,10.2388022,Norway
FINNMARK COD AS,MEHAMN,NO,7022,U1,0,MR HALFDAN ELVEBOE ODD,RAET 9,9770,Gamvik,Norwegen,71.0427652,27.8457174,Norway
HYNION SVERIGE AB,KARLSKOGA,SE,4299,U1,3,HYNION AS,NORAVÄGEN 1,691 53,Örebro,Schweden,59.3358536,14.550603,Sweden
PEEK CONSULTING AB,VÄSTRA FRÖLUNDA,SE,7112,U1,1,,"C/O PER EKDUNGE, LANDBOVÄGEN 16",421 66,Västra Götaland,Schweden,57.62279105,11.893751763292403,Sweden
SUPERHY EUROPE AB,STOCKHOLM,SE,7112,U1,n.v.,,"C/O TORKEL ELGH, RÖRSTRANDSGATAN 40",113 40,Stockholm,Schweden,59.341078,18.0282814,Sweden
S2H2+BM CONCEPT AB,STOCKHOLM,SE,7219,U1,1,S2H2+BM CONCEPT AB,"C/O TALENOM REDOVISNING AB, BOX 842",101 36,Stockholm,Schweden,,,Sweden
HELINOR ENERGY AS,FLORØ,NO,4618,U1,0,MR JAN ELLING HELVIG,BOTNASTRANDA 76,6900,Kinn,Norwegen,61.6115415,5.0974618,Norway
HYFUEL AS,FLORØ,NO,7112,U1,0,,BOTNANESET 24,6900,Kinn,Norwegen,61.6123784,5.0763514,Norway
HYSTORSYS AS,LYSAKER,NO,7490,U1,0,TELEVENTURE CAPITAL AS,ARNSTEIN ARNEBERGS VEI 28,1366,Bærum,Norwegen,59.908437,10.6244811,Norway
PRUNA BETREIBER GMBH,GRÜNWALD,DE,1910,U1,2,COMMERZBANK AG,TÖLZER STR.,82031,"München, Landkreis",Deutschland,48.0348648,11.5213482,Germany
HYDROCHEM ITALIA PARTECIPAZIONI S.R.L.,MILANO,IT,7010,U1,n.v.,DELTA SHAREHOLDERSHIP LTD.,VIA GIACOMO LEOPARDI 8,20123,Milano,Italien,45.4680151,9.1748564,Italy
GREEN HYDROGEN TECH AS,ANKENES,NO,4399,U1,0,ELTEMSAH YEHIA SAYED ISMAIL,C/O ALBARA MUSTAFA BERGVEIEN 43,8520,Narvik,Norwegen,,,Norway
H2 ENERGY AS,ÅRDAL I RYFYLKE,NO,2011,U1,0,FARRINGFORD FOUNDATION,C/O PARTNER REGNSKAP AS ÅRDALSTUNET 15,4137,Hjelmeland,Norwegen,59.1512531,6.1788025,Norway
NARVIK SUSTAINABLE TECHNOLOGIES AS,NARVIK,NO,7112,U1,6,KHALIL EMAN FATHI MOHAMAD,ROMBAKSVEIEN 16,8517,Narvik,Norwegen,68.442654,17.440116,Norway
H2 PRODUCTION AS,ÅGOTNES,NO,2011,U1,0,CCB ENERGY HOLDING AS,C/O COAST CENTER BASE AS TRANESVEGEN 22,5347,Øygarden,Norwegen,,,Norway
NARVIK HYDROGEN AS,NARVIK,NO,2011,U1,n.v.,,FAGERNESVEIEN 2,8514,Narvik,Norwegen,68.4275098,17.4267147,Norway
ELMETEC INVEST AB,HALLSBERG,SE,4321,LF,0,,SÖRBY 197,694 92,Örebro,Schweden,59.142629,15.121253,Sweden
INTERNATIONAL TOWER FRANCE,CHATEAURENARD,FR,4675,U1,n.v.,MR M EL KARA RIAD,"ZI DES ISCLES, 4 AVENUE DE L'ANGUILLON",13160,Bouches-du-Rhône,Frankreich,43.888451,4.837479,France
TIELLE S.R.L. - RACCOLTA E TRASFORMAZIONE MATERIE PRIME SECONDE,SERAVEZZA,IT,7490,U1,n.v.,MR FRANCESCO LORENZETTI,TRA B DI VIA FORTUNATO FEDERIGI 10,55047,Lucca,Italien,,,Italy
H2CAB FLOWCELL AB,UPPSALA,SE,4932,LF,0,,"C/O EDWARD BLOMSTRAND, RAPPHÖNSVÄGEN 1",756 53,Uppsala,Schweden,59.795237,17.640445,Sweden
ALDER HOLDINGS SAS,PUTEAUX,FR,6420,U1,n.v.,OTIS WORLDWIDE CORP,"23 27 TOUR DEFENSE PLAZA, 23 RUE DELARIVIERE LEFOULLON",92800,Hauts-de-Seine,Frankreich,48.887919,2.244068,France
SYMBIO,ST FONS,FR,7490,U1,n.v.,SYMBIO,10 RUE SPÉCIA,69190,Rhône,Frankreich,45.7042176,4.8512714,France
AB IGRENE (PUBL),MORA,SE,0910,U1,1,AB IGRENE (PUBL),HÅNÅKNIVÄGEN 12,792 35,Dalarna,Schweden,,,Sweden
AGAPE HYDROGEN AS,FREDRIKSTAD,NO,7219,U1,0,,TORDENSKIOLDS GATE 9B,1606,Fredrikstad,Norwegen,59.207871,10.940443,Norway
