Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country,Full Address
ГАЗПРОМ СЖИЖЕННЫЙ ГАЗ,КАЗАНЬ,RU,4671,U1,189,Правительство Российской Федерации,УЛ. ДУБРАВНАЯ Д. 53 „А“,420138,Республика Татарстан (Татарстан),Russische Föderation,,,Russia,"УЛ. ДУБРАВНАЯ Д. 53 „А“, 420138, Республика Татарстан (Татарстан), Russische Föderation"
KENNOXHEAD WIND FARM LIMITED,LONDON,GB,4110,U1,n.v.,KINGDOM OF DENMARK,5 HOWICK PLACE,SW1P 1WG,London SW1P,Vereinigtes Königreich,51.4967767,-0.1360237,United Kingdom,"5 HOWICK PLACE, SW1P 1WG, London SW1P, Vereinigtes Königreich"
ENOGIA,MARSEILLE,FR,7490,C2,58,ENOGIA,19 AVENUE PAUL HEROULT,13015,Bouches-du-Rhône,Frankreich,43.339253,5.369384,France,"19 AVENUE PAUL HEROULT, 13015, Bouches-du-Rhône, Frankreich"
ХИМОПТТОРГ,ВОРОНЕЖ,RU,4690,U1,35,MR ILYA VIKTOROVICH GONCHAROV,УЛ. ЗЕМЛЯЧКИ Д.21,394033,Воронежская область,Russische Föderation,51.7203518,39.29449294977093,Russia,"УЛ. ЗЕМЛЯЧКИ Д.21, 394033, Воронежская область, Russische Föderation"
WALDORF SERVICES LIMITED,MANCHESTER,GB,6420,U1,7,WALDORF ENERGY PARTNERS LIMITED,ONE ST PETER'S SQUARE,M2 3DE,Manchester,Vereinigtes Königreich,53.477544,-2.243189,United Kingdom,"ONE ST PETER'S SQUARE, M2 3DE, Manchester, Vereinigtes Königreich"
KLIMATPROJEKT I MÄLARDALEN AB,FJÄRDHUNDRA,SE,7112,U1,5,,FRÖSTHULT MÅTTEBY 7,749 71,Uppsala,Schweden,,,Sweden,"FRÖSTHULT MÅTTEBY 7, 749 71, Uppsala, Schweden"
АКЦИОНЕРНОЕ ОБЩЕСТВО ЗАВОД ХИМРЕАКТИВКОМПЛЕКТ,СТАРАЯ КУПАВНА,RU,2110,U1,85,MR NIKOLAI ALEKSEEVICH NEFATOV,"УЛ. ДОРОЖНАЯ Д. 1/4, СТР. 1",142450,Московская область,Russische Föderation,55.72794005,37.607796647413416,Russia,"УЛ. ДОРОЖНАЯ Д. 1/4, СТР. 1, 142450, Московская область, Russische Föderation"
ITM POWER (TRADING) LIMITED,SHEFFIELD,GB,2790,U1,400,ITM POWER PLC,2 BESSEMER PARK,S9 1DZ,Sheffield,Vereinigtes Königreich,53.35601655,-1.4733274,United Kingdom,"2 BESSEMER PARK, S9 1DZ, Sheffield, Vereinigtes Königreich"
GRUPPO MACCHIA CORPORATE S.R.L.,POTENZA,IT,6420,U1,5,MR DONATO MACCHIA,VLE GUGLIELMO MARCONI 179,85100,Potenza,Italien,40.6291664,15.8053576,Italy,"VLE GUGLIELMO MARCONI 179, 85100, Potenza, Italien"
CENTRA SERWIS - T.Z. MITMAN SP.J.,ŁÓDŹ,PL,4531,U1,12,,DUBOIS 119,93-465,Łódź,Polen,51.717255,19.407542,Poland,"DUBOIS 119, 93-465, Łódź, Polen"
CCI VALVE TECHNOLOGY AB,SÄFFLE,SE,4669,U1,18,IMI PLC,BOX 603,661 29,Värmland,Schweden,,,Sweden,"BOX 603, 661 29, Värmland, Schweden"
QAIR FRANCE,MONTPELLIER,FR,7490,U1,n.v.,DIF Infrastructure VII Coöperatief U.A.,"ZONE D AMENAGEMENT CONCERTE CAMBACERES, 120 RUE MARYAM MIRZAKHANI",34000,Hérault,Frankreich,43.595204,3.920685,France,"ZONE D AMENAGEMENT CONCERTE CAMBACERES, 120 RUE MARYAM MIRZAKHANI, 34000, Hérault, Frankreich"
SOCIETE NOUVELLE MILLE PERE ET FILS,PEYRUIS,FR,4675,U1,n.v.,DURANSIA,"ZA LA CASSINE LOTISSEMENT LA SEV, 71 RUE DES PENITENTS",04310,Alpes-de-Haute-Provence,Frankreich,44.041665,5.960006,France,"ZA LA CASSINE LOTISSEMENT LA SEV, 71 RUE DES PENITENTS, 04310, Alpes-de-Haute-Provence, Frankreich"
HUMBERSIDE OFFSHORE TRAINING ASSOCIATION,HULL,GB,8559,U1,38,,"MALMO ROAD, SUTTON FIELDS INDUSTRIAL ESTATE",HU7 0YF,Hull,Vereinigtes Königreich,53.7351662,-0.365051,United Kingdom,"MALMO ROAD, SUTTON FIELDS INDUSTRIAL ESTATE, HU7 0YF, Hull, Vereinigtes Königreich"
PROTON MOTOR POWER SYSTEMS PLC,LONDON,GB,2011,C1,107,NAHAB FAMILY,"C/O WOMBLE BOND DICKSON (UK) LLP, 4 MORE LONDON RIVERSIDE",SE1 2AU,London SE1,Vereinigtes Königreich,51.504548,-0.080365,United Kingdom,"C/O WOMBLE BOND DICKSON (UK) LLP, 4 MORE LONDON RIVERSIDE, SE1 2AU, London SE1, Vereinigtes Königreich"
AIR LIQUIDE MIDDLE EAST,PARIS,FR,6420,U1,n.v.,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",6 RUE COGNACQ JAY,75007,Paris,Frankreich,48.8618312,2.3045629,France,"6 RUE COGNACQ JAY, 75007, Paris, Frankreich"
HULTEBERG CHEMISTRY & ENGINEERING AB,MALMÖ,SE,7112,U1,16,HULTEBERG HOLDING AB,KRUSEGATAN 32,212 25,Skåne,Schweden,,,Sweden,"KRUSEGATAN 32, 212 25, Skåne, Schweden"
AW-ENERGY OY,VANTAA,FI,7112,U1,7,,TIKKURILANTIE 10,01380,Uusimaa,Finnland,60.291186,25.072881,Finland,"TIKKURILANTIE 10, 01380, Uusimaa, Finnland"
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО КАЗАНСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА,КАЗАНЬ,RU,4646,U1,7,,УЛ.АДОРАТСКОГО Д.12,420133,Республика Татарстан (Татарстан),Russische Föderation,42.905279,71.441848,Russia,"УЛ.АДОРАТСКОГО Д.12, 420133, Республика Татарстан (Татарстан), Russische Föderation"
LHYFE,NANTES,FR,7112,C2,149,LHYFE,1 T MAIL PABLO PICASSO,44000,Loire-Atlantique,Frankreich,47.217073,-1.532056,France,"1 T MAIL PABLO PICASSO, 44000, Loire-Atlantique, Frankreich"
ARCHIMEDE S.R.L. SOCIETA' DI INGEGNERIA,CALTANISSETTA,IT,7112,U1,16,MR GIANLUCA TUMMINELLI,CSO UMBERTO I 211,93100,Caltanissetta,Italien,37.488595,14.062999,Italy,"CSO UMBERTO I 211, 93100, Caltanissetta, Italien"
YARA CLEAN AMMONIA NORGE AS,OSLO,NO,2011,U1,0,YARA INTERNATIONAL ASA,DRAMMENSVEIEN 131,0277,Oslo,Norwegen,59.922149,10.687623,Norway,"DRAMMENSVEIEN 131, 0277, Oslo, Norwegen"
BELLTOWN POWER UK LIMITED,BRISTOL,GB,3511,U1,16,BELLTOWN POWER UK LIMITED,"SECOND FLOOR HANOVER HOUSE, 47 CORN STREET",BS1 1HT,Bristol,Vereinigtes Königreich,51.4546211,-2.5943644772134755,United Kingdom,"SECOND FLOOR HANOVER HOUSE, 47 CORN STREET, BS1 1HT, Bristol, Vereinigtes Königreich"
SYNERGYS TECHNOLOGIES,ALTKIRCH,FR,4619,U1,n.v.,,"QUARTIER PLESSIER, 39 AV DU 8E REGIMENT DE HUSSARDS",68130,Haut-Rhin,Frankreich,47.6257668,7.2262735,France,"QUARTIER PLESSIER, 39 AV DU 8E REGIMENT DE HUSSARDS, 68130, Haut-Rhin, Frankreich"
ENBW NORWAY AS,OSLO,NO,7112,U1,3,ENBW ENERGIE BADEN-WÜRTTEMBERG AG,BUSINESS VILLAGE AKER BRYGGE GRUNDINGEN 6,0250,Oslo,Norwegen,59.910636,10.727314,Norway,"BUSINESS VILLAGE AKER BRYGGE GRUNDINGEN 6, 0250, Oslo, Norwegen"
NORDCON ENERGY AS,BJØRKELANGEN,NO,4671,C2,2,NORDCON ENERGY AS,KOMPVEIEN 2668,1940,Aurskog-Høland,Norwegen,59.8873727,11.5610013,Norway,"KOMPVEIEN 2668, 1940, Aurskog-Høland, Norwegen"
MOLTEX ENERGY LIMITED,STRATFORD-UPON-AVON,GB,7219,U1,25,MOLTEX ENERGY LIMITED,"13 THE COURTYARD, TIMOTHYS BRIDGE ROAD",CV37 9NP,Stratford-Upon-Avon,Vereinigtes Königreich,,,United Kingdom,"13 THE COURTYARD, TIMOTHYS BRIDGE ROAD, CV37 9NP, Stratford-Upon-Avon, Vereinigtes Königreich"
AIR LINK,ROUSSET,FR,7010,U1,n.v.,"PIERRE, MAURICE, ADRIEN, JEAN FIAT","BATIMENT D RES LES PORTES DE ROUSSET, 1200 AVENUE OLIVIER PERROY",13790,Bouches-du-Rhône,Frankreich,43.470614,5.598779,France,"BATIMENT D RES LES PORTES DE ROUSSET, 1200 AVENUE OLIVIER PERROY, 13790, Bouches-du-Rhône, Frankreich"
CHEMATUR TECHNOLOGIES AB,KARLSKOGA,SE,7010,C2,36,万华化学集团股份有限公司,BOX 430,691 27,Örebro,Schweden,,,Sweden,"BOX 430, 691 27, Örebro, Schweden"
NORWEGIAN HYDROGEN AS,ÅLESUND,NO,2011,U1,10,NORWEGIAN HYDROGEN AS,KORSEGATA 4B,6002,Ålesund,Norwegen,62.4717804,6.1558055,Norway,"KORSEGATA 4B, 6002, Ålesund, Norwegen"
HORSE HILL DEVELOPMENTS LTD,LONDON,GB,0610,U1,n.v.,UK OIL & GAS PLC,"THE BROADGATE TOWER, 20 PRIMROSE STREET",EC2A 2EW,London EC2A,Vereinigtes Königreich,51.5213154,-0.0797378,United Kingdom,"THE BROADGATE TOWER, 20 PRIMROSE STREET, EC2A 2EW, London EC2A, Vereinigtes Königreich"
"CURTIS, MALLET-PREVOST, COLT & MOSLE (FRANCE) LLP",LONDON,GB,,U1,n.v.,,99 GRESHAM STREET,EC2V 7NG,London EC2V,Vereinigtes Königreich,51.5149836,-0.0903911,United Kingdom,"99 GRESHAM STREET, EC2V 7NG, London EC2V, Vereinigtes Königreich"
THE EUROPEAN MARINE ENERGY CENTRE LIMITED,STROMNESS,GB,7120,U1,76,THE EUROPEAN MARINE ENERGY CENTRE LIMITED,"THE CHARLES CLOUSTON BUILDING, O.R.I.C.",KW16 3AW,Stromness,Vereinigtes Königreich,,,United Kingdom,"THE CHARLES CLOUSTON BUILDING, O.R.I.C., KW16 3AW, Stromness, Vereinigtes Königreich"
NORDIC TECHNOLOGY GROUP AS,OSLO,NO,7740,C2,2,TELEVENTURE CAPITAL AS,TOLLBUGATA 24,0157,Oslo,Norwegen,59.910913,10.741743,Norway,"TOLLBUGATA 24, 0157, Oslo, Norwegen"
FMC FORET SA,MADRID,ES,8211,U1,7,FMC CORP,"PASEO CASTELLANA, 257 5 PLT",28046,Madrid,Spanien,,,Spain,"PASEO CASTELLANA, 257 5 PLT, 28046, Madrid, Spanien"
VON ARDENNE CORPORATION MANAGEMENT GMBH,DRESDEN,DE,6420,U1,n.v.,VON ARDENNE HOLDING SE & CO. KGAA,AM HAHNWEG 8,01328,Dresden,Deutschland,51.0664053,13.898666081240384,Germany,"AM HAHNWEG 8, 01328, Dresden, Deutschland"
ADVANCED ENERGY TECHNOLOGIES ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.,ΠΆΤΡΑ,GR,7219,U1,30,ADVENT TECHNOLOGIES HOLDINGS INC,"ΣΤΑΔΊΟΥ, ΠΛΑΤΆΝΙ",26504,Αχαΐα,Griechenland,38.55575125,21.790688183939974,Greece,"ΣΤΑΔΊΟΥ, ΠΛΑΤΆΝΙ, 26504, Αχαΐα, Griechenland"
GROUPE SAFRA,ALBI,FR,6430,U1,n.v.,VINCENT RENE GABRIEL LEMAIRE,5 RUE NICOLAS COPERNIC,81000,Tarn,Frankreich,43.917997,2.094143,France,"5 RUE NICOLAS COPERNIC, 81000, Tarn, Frankreich"
QAIR ENVIRONNEMENT,MONTPELLIER,FR,3511,U1,n.v.,,"ZONE D AMENAGEMENT CONCERTE CAMBACERES, 120 RUE MARYAM MIRZAKHANI",34000,Hérault,Frankreich,43.595204,3.920685,France,"ZONE D AMENAGEMENT CONCERTE CAMBACERES, 120 RUE MARYAM MIRZAKHANI, 34000, Hérault, Frankreich"
TECO 2030 ASA,LYSAKER,NO,4669,C2,6,TECO 2030 ASA,LYSAKER TORG 45,1366,Bærum,Norwegen,59.9127853,10.6362776,Norway,"LYSAKER TORG 45, 1366, Bærum, Norwegen"
ENERFLEX (UK) LIMITED,CHATHAM,GB,8299,U1,3,ENERFLEX SYSTEMS INCOME FUND,1 - 3 MANOR ROAD,ME4 6AE,Chatham,Vereinigtes Königreich,51.38038255,0.5462173333604121,United Kingdom,"1 - 3 MANOR ROAD, ME4 6AE, Chatham, Vereinigtes Königreich"
AIRE NOUVELLE,COURBEVOIE,FR,4110,U1,n.v.,BOUYGUES,49 RUE LOUIS BLANC,92400,Hauts-de-Seine,Frankreich,48.891914,2.25262,France,"49 RUE LOUIS BLANC, 92400, Hauts-de-Seine, Frankreich"
PTK KLJUČ DOO KLADOVO,KLADOVO,RS,0111,U1,4,MRS RADOICA TODOROVIC,BUKATAREVIĆA 11,19320,Bor,Serbien,44.603427,22.593293,Serbia,"BUKATAREVIĆA 11, 19320, Bor, Serbien"
METACON AB (PUBL),UPPSALA,SE,7022,C2,24,METACON AB (PUBL),DROTTNINGGATAN 1 B,753 10,Örebro,Schweden,59.858305,17.6379939,Sweden,"DROTTNINGGATAN 1 B, 753 10, Örebro, Schweden"
AKER HORIZONS ASSET DEVELOPMENT AS,FORNEBU,NO,2011,U1,44,MR KJELL INGE ROEKKE,JOHN STRANDRUDS VEI 10,1360,Bærum,Norwegen,59.903693,10.624621,Norway,"JOHN STRANDRUDS VEI 10, 1360, Bærum, Norwegen"
ИНСТИТУТ ФИЗИКО-ТЕХНОЛОГИЧЕСКИХ ИССЛЕДОВАНИЙ (ИФТИ),БАЛАШИХА-3,RU,2790,U1,6,MR YURII VALENTINOVICH TROFIMOV,"УЛ. ПУШКИНА ДОМ 7, СТРОЕНИЕ 1, ИФТИ",143903,Московская область,Russische Föderation,55.8046633,37.98280817029969,Russia,"УЛ. ПУШКИНА ДОМ 7, СТРОЕНИЕ 1, ИФТИ, 143903, Московская область, Russische Föderation"
ΔΕΠΑ ΔΙΕΘΝΩΝ ΕΡΓΩΝ Α.Ε.,ΑΘΉΝΑ,GR,4299,C2,n.v.,,ΛΕΩΦ. ΜΕΣΟΓΕΊΩΝ 207,11525,Αττική,Griechenland,37.9646459,23.7265698,Greece,"ΛΕΩΦ. ΜΕΣΟΓΕΊΩΝ 207, 11525, Αττική, Griechenland"
E.HY ENERGY HYDROGEN SOLUTION S.P.A.,SAN GIULIANO TERME,IT,7219,U1,6,MR MARCO BERTELLI,VIA LENIN 132/G,56017,Pisa,Italien,43.764695,10.409577,Italy,"VIA LENIN 132/G, 56017, Pisa, Italien"
HY2GEN NORGE AS,SANDNES,NO,7112,U1,2,HY2GEN AG,GRENSEVEIEN 21,4313,Sandnes ,Norwegen,58.8888588,5.7183052,Norway,"GRENSEVEIEN 21, 4313, Sandnes , Norwegen"
ЭСТАФЕТА,СТАРАЯ КУПАВНА,RU,4646,U1,4,MR SERYAN BENIKOVICH AVAKYAN,УЛ.КИРОВА Д.29,142450,Московская область,Russische Föderation,,,Russia,"УЛ.КИРОВА Д.29, 142450, Московская область, Russische Föderation"
INSTRUMENTGRUPPEN ITEMS AB,STORA HÖGA,SE,7112,U1,2,MOMENTUM GROUP AB,"C/O PROCESSKONTROLL ITEMS AB, VALLENVÄGEN 5",444 60,Västra Götaland,Schweden,58.01824215,11.831971954919258,Sweden,"C/O PROCESSKONTROLL ITEMS AB, VALLENVÄGEN 5, 444 60, Västra Götaland, Schweden"
ÍSLENSK NÝORKA EHF.,REYKJAVÍK,IS,7219,U1,3,GOVERNMENT OF ICELAND,PÓSTHÓLF 8192,128,Reykjavík,Island,,,Iceland,"PÓSTHÓLF 8192, 128, Reykjavík, Island"
